,Method,time-epoch,params,avg-accuracy,max-acc,std-acc,precision,recall,f1,auc
DD,FFDN,8.01E+01,4.98E+03,60.00%,60.00%,0.00E+00,0.00%,0.00%,0.00%,52.61%
,AGAT+Our,7.65E-01,7.59E+03,78.00%,82.00%,2.89E-02,79.90%,61.00%,68.70%,83.00%
IMDB-BINARY,FFDN,1.18E+01,3.86E+03,50.00%,50.00%,0.00E+00,0.00%,0.00%,0.00%,56.51%
,AGAT+Our,5.46E-01,6.18E+03,65.10%,67.20%,1.77E-02,66.60%,61.20%,63.60%,69.70%
IMDB-MULTI,FFDN,1.16E+01,3.90E+03,30.67%,30.67%,0.00E+00,0.00%,0.00%,15.65%,49.46%
,AGAT+Our,8.11E-01,6.22E+03,38.90%,46.90%,4.82E-02,0.00%,0.00%,32.80%,55.70%
NCI1,FFDN,2.56E+01,4.14E+03,49.22%,49.22%,0.00E+00,49.22%,100.00%,65.97%,40.72%
,AGAT+Our,2.27E+00,6.76E+03,74.20%,74.80%,5.52E-03,73.70%,74.30%,73.90%,81.00%
OHSU,FFDN,9.82E-03,6.47E+03,50.00%,50.00%,0.00E+00,37.50%,75.00%,50.00%,48.75%
,AGAT+Our,5.76E-02,9.21E+03,60.00%,65.00%,3.54E-02,63.20%,62.50%,60.00%,63.50%
Peking_1,FFDN,8.33E-03,6.47E+03,63.64%,63.64%,0.00E+00,0.00%,0.00%,0.00%,47.66%
,AGAT+Our,8.25E-02,8.31E+03,65.90%,72.70%,6.82E-02,53.00%,78.10%,62.60%,73.40%
PROTEINS,FFDN,8.82E+00,3.60E+03,60.21%,60.21%,0.00E+00,0.00%,0.00%,0.00%,55.00%
,AGAT+Our,1.03E+00,5.32E+03,73.80%,74.90%,1.66E-02,71.30%,57.70%,63.60%,77.50%
SYNTHETIC,FFDN,1.75E+01,3.97E+03,50.33%,50.67%,5.78E-03,38.00%,75.00%,50.44%,50.00%
,AGAT+Our,4.91E-01,6.30E+03,50.00%,50.70%,6.67E-03,25.30%,50.00%,33.60%,51.90%
SYNTHETICnew,FFDN,8.21E+00,3.85E+03,50.00%,50.67%,6.67E-03,25.33%,50.00%,33.63%,48.83%
,AGAT+Our,4.75E-01,5.35E+03,55.00%,60.00%,4.46E-02,42.10%,57.90%,48.20%,58.10%
